0.00,1.71,18.02,35.29,8.74,19.25,13.52,35.02,14.29,42.13,20.24,43.76,17.00,35.66,15.03,40.75,42.70,42.66,46.88,42.75,7.02,17.35,603.20
0.00,1.63,12.62,28.65,8.98,24.29,16.49,51.35,13.74,38.84,13.95,41.14,13.69,38.53,20.38,44.37,61.71,51.20,50.69,47.35,14.90,22.83,617.38
0.00,1.80,16.69,36.03,6.94,20.01,13.49,34.33,19.59,44.10,15.87,35.43,17.35,41.53,14.44,39.73,44.87,59.62,51.57,43.63,8.44,20.63,586.10
0.00,1.70,15.18,38.40,9.62,16.80,19.20,37.16,19.63,45.04,15.74,40.17,15.21,36.19,15.67,46.48,44.44,47.11,47.21,97.49,12.88,23.98,645.32
0.01,1.79,14.54,33.69,7.58,21.22,15.03,40.95,15.37,45.87,11.80,30.90,14.64,37.68,18.94,40.41,41.00,39.22,40.56,38.08,6.86,16.08,532.24
0.00,2.02,13.10,33.49,7.17,21.20,13.82,32.15,14.03,40.55,24.27,31.44,12.90,31.23,13.21,31.33,39.43,39.32,40.45,44.14,6.86,16.28,508.39
0.00,1.79,13.01,33.27,7.17,17.81,15.88,37.48,13.93,57.24,22.01,43.83,15.63,50.94,14.43,38.71,51.00,53.86,58.43,52.88,7.17,16.08,622.55
0.01,1.89,13.21,41.88,11.67,16.03,13.66,36.87,12.90,33.07,15.73,38.65,17.30,42.49,15.16,44.03,70.25,49.98,45.76,49.77,7.58,22.93,600.84
0.00,2.13,15.77,39.01,13.93,24.17,15.46,39.83,24.89,40.74,13.52,40.65,13.31,44.65,19.46,39.72,51.11,50.27,57.04,44.44,7.89,19.76,617.77
0.00,1.82,17.10,42.81,9.52,25.09,15.77,42.80,14.74,44.50,15.40,36.41,16.94,39.83,14.03,35.43,55.40,51.61,62.46,53.05,8.49,19.05,622.27
0.00,7.86,14.44,40.35,7.33,21.04,17.00,37.68,13.52,50.44,15.52,41.76,16.69,43.83,15.56,43.62,55.71,46.83,48.92,49.87,8.90,18.94,615.82
0.00,1.72,16.18,38.81,7.68,18.64,24.16,53.86,14.55,48.63,15.57,33.59,21.61,44.44,18.64,41.06,42.91,46.53,59.14,49.15,6.76,16.07,619.71
0.00,2.91,15.34,42.83,7.24,31.03,14.44,40.04,17.10,40.55,14.54,34.71,15.46,37.58,24.57,39.83,49.15,59.82,58.97,43.31,8.19,18.53,616.18
0.00,1.82,14.95,41.68,14.42,18.34,15.98,41.47,14.34,47.47,23.59,40.51,16.52,50.79,15.57,36.26,46.02,47.26,64.09,50.28,10.30,23.90,635.58
